user_id	movie_id	rating	result
92	154	3	0.96788573
135	164	4	0.967526
84	85	4	0.9674363
9	25	4	0.9683026
121	105	5	0.9673355
171	80	4	0.96829927
35	98	2	0.9679212
6	52	5	0.9676285
138	175	4	0.98791814
50	135	4	0.96829665
147	123	5	0.9677223
110	169	5	0.98071814
173	50	3	0.9876802
36	152	5	0.96817327
3	39	1	0.9680821
148	114	3	0.9678929
151	63	4	0.968531
94	126	5	0.9681177
48	102	2	0.9683032
174	167	3	0.9682789
169	59	2	0.9680362
46	176	3	0.96830344
134	30	5	0.9687432
24	156	5	0.9679922
30	57	3	0.96813005
191	109	4	0.96753
45	9	4	0.98012567
156	165	5	0.967098
149	47	5	0.9683564
59	107	4	0.9680641
63	77	4	0.9682869
33	54	4	0.9681771
106	182	2	0.96852887
10	173	4	0.98056865
186	129	1	0.96826416
79	51	4	0.96804225
12	6	4	0.9681097
189	27	4	0.9678154
27	19	5	0.9676578
99	146	1	0.98741055
